Cust_ID	name	birth_year	education_level	dependents	City
4	Mr Daniel Spencer	2002	Master	1	nan
5	Miss Abigail Garcia	1994	high school	0	Birmingham
6	Miss Laura Williams	2005	PhD	1	nan
9	Mr Justin Hamilton	2003	high school	0	nan
10	Mr Steven Vaughn	2002	less than high school	0	nan
11	Mr Arthur Drake	2000	high school	1	Brimingham
12	Miss Sandra Larson	2005	PhD	0	nan
15	Miss Alexandria King	1958	less than high school	0	London
18	Miss Megan Henry	1996	high school	1	nan
19	Miss Patricia Carlson	1999	Master	0	nan
20	Mr Charles Mendez	1997	Bachelor	0	Birmingham
21	Miss Kelly Waters	1988	Bachelor	0	nan
24	Mr Brian Maldonado	2001	high school	0	Birmingham
25	Miss Leah Krueger	1995	high school	0	nan
28	Miss Diane Lyons	1992	less than high school	0	London
30	Miss Megan Martinez	2003	high school	1	London
31	Mr Ryan Roberts	1954	PhD	0	London
33	Miss Michelle Baker	2002	high school	1	nan
35	Miss Jamie Smith	1972	Master	1	Birmingham
36	Miss Paula Hughes	1976	high school	0	Birmingham
42	Mr David Alexander	2004	Bachelor	0	nan
43	Mr Chad Steele	1959	high school	1	nan
44	Miss Michelle White	2006	high school	0	London
45	Miss Katie Harrison	2004	Master	0	London
46	Miss Katie Rodriguez	2003	Bachelor	0	nan
48	Miss Sarah Mejia	2000	PhD	0	Birmingham
50	Mr Johnathan Cervantes	1999	Bachelor	0	nan
58	Mr William Dunn	2001	Master	1	nan
59	Miss Felicia Travis	2001	high school	0	nan
61	Mr Kevin Hayes	1995	Bachelor	0	nan
62	Miss Jessica Doyle	1975	high school	1	London
63	Miss Jessica Gonzalez	2001	PhD	1	nan
65	Mr Brian Washington	1981	high school	1	nan
66	Miss Michele Nelson	1998	High School	1	nan
67	Miss Danielle Peters	2003	Master	0	nan
68	Miss Melanie Kim	2001	Bachelor	0	Birmingham
72	Miss Janet Murray	1955	high school	0	Birmingham
73	Miss Stephanie Joseph	2006	high school	1	nan
74	Miss Alicia Campbell	1999	high school	0	London
75	Mr Jonathan Tran	1961	Master	0	Birmingham
77	Miss Amanda Ramirez	2001	high school	1	nan
79	Mr Andrew Howe	1953	less than high school	0	Birmingham
80	Miss Katrina Nash	1997	less than high school	0	Birmingham
81	Mr Jon Owens	1958	Master	0	nan
84	Mr Scott Gordon	1967	less than high school	0	Birmingham
85	Mr Craig Wang	1996	PhD	0	London
86	Miss Linda Smith	2003	Master	0	London
91	Mr Anthony Wheeler	2004	less than high school	0	Birmingham
92	Mr Anthony Daniels	1965	Bachelor	0	nan
94	Miss Allison Henry	1998	high school	1	London
95	Mr Kristopher May	1953	high school	0	London
97	Mr Joshua Casey	1969	high school	0	Birmingham
98	Mr Derek Horn	1989	high school	0	Birmingham
100	Miss Sara Sanchez	1992	high school	0	London
101	Miss Laura Kirk	1986	high school	0	London
102	Miss Erica Mendez	1971	PhD	1	Birmingham
103	Miss Autumn Brooks	2001	less than high school	0	London
104	Miss Andrea Moore	1999	Bachelor	0	nan
105	Miss Jessica Smith	2004	PhD	1	nan
110	Mr Robert Taylor	1993	PhD	0	Birmingham
112	Miss Janet Caldwell	1969	less than high school	0	Birmingham
114	Miss Sheila Dorsey	2004	high school	0	nan
115	Mr Chris Aguirre	2004	Bachelor	0	London
116	Mr David Smith	2003	less than high school	1	nan
117	Miss Stephanie Padilla	2000	less than high school	0	nan
118	Mr Roberto Allen	2002	high school	0	Birmingham
119	Mr Christopher Gonzalez	1996	high school	0	Birmingham
123	Miss Michelle George	1987	less than high school	1	nan
124	Miss Connie Curtis	2000	less than high school	0	Birmingham
125	Miss Gina Harrington	2000	PhD	0	nan
127	Miss Mindy Fox	2004	high school	0	nan
128	Miss Amanda Gross	1986	high school	0	London
129	Miss Briana Sosa	2006	high school	0	nan
131	Mr Matthew Brown	1968	high school	0	Birmingham
132	Mr Justin Snyder	1955	less than high school	0	nan
134	Miss Amanda Gray	1997	Master	0	Birmingham
137	Mr Jonathan Underwood	1962	less than high school	1	Birmingham
138	Miss Kari Henderson	1969	Bachelor	0	nan
141	Miss Tara Moore	1967	Master	1	Birmingham
142	Mr John Wright	2000	less than high school	1	Birmingham
146	Miss Anne Gutierrez	1993	high school	0	London
147	Miss Mary Dixon	1989	high school	0	Birmingham
148	Mr Carlos Crosby	2003	PhD	0	nan
149	Miss Julia Valentine	2001	Master	0	nan
150	Miss Susan Williams	2003	Bachelor	0	London
152	Mr Chad Rivera	1951	high school	0	Birmingham
153	Miss Anne Long	1994	Master	0	nan
155	Miss Jessica Hayes	2002	high school	0	Birmingham
156	Mr Anthony Rodriguez	2002	Bachelor	1	Birmingham
159	Miss Ashley Garcia	2003	Master	0	London
160	Miss Susan Gonzalez	1995	Master	1	London
161	Miss Lisa Pope	2002	less than high school	1	London
162	Mr Joe Browning	1995	Master	0	nan
163	Miss Rebecca Contreras	1998	high school	1	nan
164	Miss Mia Abbott	2004	PhD	0	Birmingham
165	Mr David Smith	2002	Bachelor	0	nan
166	Mr Joseph Anderson	1987	high school	0	London
167	Miss Ashley Miranda	1996	Master	0	nan
168	Mr Taylor Adams	1989	high school	0	nan
171	Miss Candice Newman	1989	Master	0	Birmingham
173	Miss Debra Wagner	2003	less than high school	0	Birmingham
176	Mr Adam Henry	2002	High School	1	nan
177	Miss Brooke Bowman	1998	less than high school	0	Birmingham
178	Miss Jasmine Austin	2005	Bachelor	0	London
179	Miss Patricia Ramirez	2004	high school	0	nan
184	Miss Anna Nelson	1995	less than high school	0	Birmingham
185	Miss Ashley Rodriguez	1998	less than high school	0	London
186	Mr Walter Norris	1994	Master	0	Birmingham
187	Mr Antonio Adams	1993	less than high school	0	Birmingham
188	Mr Adam Kelly	1998	Master	1	nan
189	Miss Alexis Gill	1995	Bachelor	0	Birmingham
190	Miss Julia Wells	1965	Master	0	nan
192	Miss Sandra Burton	1993	PhD	0	nan
